Name,Historic,New,Delta
Bagerhat,22.4,23.87777778,1.477777778
Bandarban,21.68,23.13714286,1.457142857
Barguna,23.05,24.45,1.4
Barishal,23.05,24.55,1.5
Bhola,23.05,24.52142857,1.471428571
Bogura,21.34,22.94,1.6
Brahmanbaria,21.68,23.38,1.7
Chandpur,21.68,23.28,1.6
Chapainawabganj,21.34,22.94,1.6
Chattogram,21.68,23.21571429,1.535714286
Chuadanga,22.4,23.925,1.525
Cox's Bazar,21.68,23.08,1.4
Cumilla,21.68,23.31125,1.63125
Dhaka,21.74,23.24,1.5
Dinajpur,20.83,22.43,1.6
Faridpur,21.74,23.29555556,1.555555556
Feni,21.68,23.28,1.6
Gaibandha,20.83,22.43,1.6
Gazipur,21.74,23.44,1.7
Gopalganj,21.74,23.24,1.5
Habiganj,20.57,22.27,1.7
Jamalpur,20.86,22.46,1.6
Jashore,22.4,23.9,1.5
Jhalokati,23.05,24.525,1.475
Jhenaidah,22.4,23.93333333,1.533333333
Joypurhat,21.34,22.94,1.6
Khagrachari,21.68,23.3425,1.6625
Khulna,22.4,23.87777778,1.477777778
Kishoreganj,21.74,23.44,1.7
Kurigram,20.83,22.47444444,1.644444444
Kushtia,31.5,33.1,1.6
Lakshmipur,21.68,23.18,1.5
Lalmonirhat,20.83,22.51,1.68
Madaripur,21.74,23.265,1.525
Magura,22.4,23.925,1.525
Manikganj,21.74,23.34,1.6
Meherpur,22.4,24,1.6
Moulvibazar,20.57,22.34142857,1.771428571
Munshiganj,21.74,23.34,1.6
Mymensingh,20.86,22.55230769,1.692307692
Naogaon,21.34,22.94,1.6
Narail,22.4,23.9,1.5
Narayanganj,21.74,23.34,1.6
Narsingdi,21.74,23.44,1.7
Natore,21.34,23.04,1.7
Netrokona,20.86,22.46,1.6
Nilphamari,20.83,22.48,1.65
Noakhali,21.68,23.25777778,1.577777778
Pabna,21.34,22.94,1.6
Panchagarh,20.83,22.53,1.7
Patuakhali,23.05,24.475,1.425
Pirojpur,23.05,24.53571429,1.485714286
Rajbari,21.74,23.34,1.6
Rajshahi,21.34,22.94,1.6
Rangamati,21.68,23.32,1.64
Rangpur,20.83,22.43,1.6
Satkhira,22.4,23.88571429,1.485714286
Shariatpur,21.74,23.34,1.6
Sherpur,20.86,22.46,1.6
Sirajganj,21.34,22.94,1.6
Sunamganj,20.57,22.27,1.7
Sylhet,20.57,22.295,1.725
Tangail,21.74,23.35666667,1.616666667
Thakurgaon,20.83,22.43,1.6